data,algorithm,split,source_row,y_pred
C1,RandomForestRegressor,Train,424,3.7859795
C1,RandomForestRegressor,Train,146,7.450163667
C1,RandomForestRegressor,Train,93,13.33584151
C1,RandomForestRegressor,Train,323,9.258913167
C1,RandomForestRegressor,Train,539,0.043504167
C1,RandomForestRegressor,Train,99,11.9910665
C1,RandomForestRegressor,Train,92,9.410684333
C1,RandomForestRegressor,Train,28,185.5230195
C1,RandomForestRegressor,Train,258,57.82063977
C1,RandomForestRegressor,Train,632,177.0425882
C1,RandomForestRegressor,Train,366,40.89212967
C1,RandomForestRegressor,Train,150,7.694597292
C1,RandomForestRegressor,Train,572,121.5474873
C1,RandomForestRegressor,Train,638,204.8718048
C1,RandomForestRegressor,Train,421,1.511759
C1,RandomForestRegressor,Train,27,186.6757388
C1,RandomForestRegressor,Train,50,96.62775083
C1,RandomForestRegressor,Train,286,17.04222
C1,RandomForestRegressor,Train,213,21.51207833
C1,RandomForestRegressor,Train,445,1.398742833
C1,RandomForestRegressor,Train,252,29.74110167
C1,RandomForestRegressor,Train,85,9.443761344
C1,RandomForestRegressor,Train,461,0.5671165
C1,RandomForestRegressor,Train,455,0.024594
C1,RandomForestRegressor,Train,375,139.7248
C1,RandomForestRegressor,Train,210,122.6901654
C1,RandomForestRegressor,Train,290,12.83583333
C1,RandomForestRegressor,Train,15,182.9753617
C1,RandomForestRegressor,Train,535,1.192135
C1,RandomForestRegressor,Train,596,10.81204533
C1,RandomForestRegressor,Train,514,0.1655555
C1,RandomForestRegressor,Train,651,168.2744113
C1,RandomForestRegressor,Train,62,65.05411533
C1,RandomForestRegressor,Train,58,73.411271
C1,RandomForestRegressor,Train,78,62.29919967
C1,RandomForestRegressor,Train,274,16.83069067
C1,RandomForestRegressor,Train,418,0.222231
C1,RandomForestRegressor,Train,522,1.119763833
C1,RandomForestRegressor,Train,516,0.291571667
C1,RandomForestRegressor,Train,633,187.3078323
C1,RandomForestRegressor,Train,656,8.351294
C1,RandomForestRegressor,Train,431,0.176113333
C1,RandomForestRegressor,Train,51,39.31733333
C1,RandomForestRegressor,Train,497,0.7953855
C1,RandomForestRegressor,Train,425,4.1413305
C1,RandomForestRegressor,Train,331,8.886853428
C1,RandomForestRegressor,Train,413,2.401544333
C1,RandomForestRegressor,Train,109,19.93123801
C1,RandomForestRegressor,Train,42,181.9394095
C1,RandomForestRegressor,Train,75,57.26331783
C1,RandomForestRegressor,Train,432,0.2463215
C1,RandomForestRegressor,Train,626,125.0824988
C1,RandomForestRegressor,Train,480,0.148227167
C1,RandomForestRegressor,Train,222,28.407139
C1,RandomForestRegressor,Train,442,0.3059645
C1,RandomForestRegressor,Train,460,0.546089333
C1,RandomForestRegressor,Train,21,86.81363967
C1,RandomForestRegressor,Train,55,73.9927015
C1,RandomForestRegressor,Train,291,244.7083333
C1,RandomForestRegressor,Train,217,106.5136179
C1,RandomForestRegressor,Train,392,249.5008712
C1,RandomForestRegressor,Train,544,2.290130833
C1,RandomForestRegressor,Train,203,120.8081072
C1,RandomForestRegressor,Train,305,199.0440268
C1,RandomForestRegressor,Train,664,7.504070833
C1,RandomForestRegressor,Train,558,20.4744055
C1,RandomForestRegressor,Train,113,4.38830256
C1,RandomForestRegressor,Train,188,13.75559644
C1,RandomForestRegressor,Train,220,13.27961171
C1,RandomForestRegressor,Train,80,63.82273867
C1,RandomForestRegressor,Train,383,84.54361317
C1,RandomForestRegressor,Train,41,183.7199384
C1,RandomForestRegressor,Train,654,4.134432667
C1,RandomForestRegressor,Train,548,3.069687667
C1,RandomForestRegressor,Train,484,0.493082833
C1,RandomForestRegressor,Train,17,182.5587767
C1,RandomForestRegressor,Train,123,3.274413542
C1,RandomForestRegressor,Train,132,11.68580478
C1,RandomForestRegressor,Train,341,2.922927422
C1,RandomForestRegressor,Train,511,1.008205667
C1,RandomForestRegressor,Train,482,0.281116667
C1,RandomForestRegressor,Train,48,100.8653772
C1,RandomForestRegressor,Train,349,8.589927333
C1,RandomForestRegressor,Train,494,0.263147
C1,RandomForestRegressor,Train,304,199.6090268
C1,RandomForestRegressor,Train,525,1.280868833
C1,RandomForestRegressor,Train,308,174.2056935
C1,RandomForestRegressor,Train,4,88.17142544
C1,RandomForestRegressor,Train,437,0.7876735
C1,RandomForestRegressor,Train,531,0.757452
C1,RandomForestRegressor,Train,165,2.584039833
C1,RandomForestRegressor,Train,474,2.5648785
C1,RandomForestRegressor,Train,409,0.874988833
C1,RandomForestRegressor,Train,627,125.3755832
C1,RandomForestRegressor,Train,567,106.3590723
C1,RandomForestRegressor,Train,280,28.09542133
C1,RandomForestRegressor,Train,82,54.7180165
C1,RandomForestRegressor,Train,605,16.6874165
C1,RandomForestRegressor,Train,350,9.295035
C1,RandomForestRegressor,Train,470,1.801323667
C1,RandomForestRegressor,Train,446,1.7461745
C1,RandomForestRegressor,Train,541,0.370982
C1,RandomForestRegressor,Train,96,17.242067
C1,RandomForestRegressor,Train,444,1.182065
C1,RandomForestRegressor,Train,154,32.48627217
C1,RandomForestRegressor,Train,582,192.9070812
