data,algorithm,split,source_row,y_true
C1,RandomForestRegressor,Train,424,4.0661
C1,RandomForestRegressor,Train,146,7.4684
C1,RandomForestRegressor,Train,93,15.107
C1,RandomForestRegressor,Train,323,9.5
C1,RandomForestRegressor,Train,539,0.0157
C1,RandomForestRegressor,Train,99,10.9416
C1,RandomForestRegressor,Train,92,5.6837
C1,RandomForestRegressor,Train,28,192.4421
C1,RandomForestRegressor,Train,258,62
C1,RandomForestRegressor,Train,632,190.4977
C1,RandomForestRegressor,Train,366,11.7391
C1,RandomForestRegressor,Train,150,7.8279
C1,RandomForestRegressor,Train,572,121.0705
C1,RandomForestRegressor,Train,638,208.5973
C1,RandomForestRegressor,Train,421,1.8843
C1,RandomForestRegressor,Train,27,188.2349
C1,RandomForestRegressor,Train,50,99.7175
C1,RandomForestRegressor,Train,286,16
C1,RandomForestRegressor,Train,213,16.661
C1,RandomForestRegressor,Train,445,1.4355
C1,RandomForestRegressor,Train,252,31
C1,RandomForestRegressor,Train,85,7.7779
C1,RandomForestRegressor,Train,461,0.5271
C1,RandomForestRegressor,Train,455,0.0117
C1,RandomForestRegressor,Train,375,137.4459
C1,RandomForestRegressor,Train,210,132.1477
C1,RandomForestRegressor,Train,290,11.9
C1,RandomForestRegressor,Train,15,186.1441
C1,RandomForestRegressor,Train,535,1.1538
C1,RandomForestRegressor,Train,596,4.6697
C1,RandomForestRegressor,Train,514,0.0991
C1,RandomForestRegressor,Train,651,168.7782
C1,RandomForestRegressor,Train,62,67.104
C1,RandomForestRegressor,Train,58,70.945
C1,RandomForestRegressor,Train,78,62.2973
C1,RandomForestRegressor,Train,274,16.7407
C1,RandomForestRegressor,Train,418,0.0232
C1,RandomForestRegressor,Train,522,1.1411
C1,RandomForestRegressor,Train,516,0.3443
C1,RandomForestRegressor,Train,633,193.6651
C1,RandomForestRegressor,Train,656,9.8231
C1,RandomForestRegressor,Train,431,0.1437
C1,RandomForestRegressor,Train,51,36.1086
C1,RandomForestRegressor,Train,497,0.7317
C1,RandomForestRegressor,Train,425,4.3637
C1,RandomForestRegressor,Train,331,8.9
C1,RandomForestRegressor,Train,413,2.5006
C1,RandomForestRegressor,Train,109,15
C1,RandomForestRegressor,Train,42,187.2488
C1,RandomForestRegressor,Train,75,54.9536
C1,RandomForestRegressor,Train,432,0.1875
C1,RandomForestRegressor,Train,626,123.9819
C1,RandomForestRegressor,Train,480,0.1562
C1,RandomForestRegressor,Train,222,31.2926
C1,RandomForestRegressor,Train,442,0.0274
C1,RandomForestRegressor,Train,460,0.4651
C1,RandomForestRegressor,Train,21,106.0925
C1,RandomForestRegressor,Train,55,75.5317
C1,RandomForestRegressor,Train,291,250
C1,RandomForestRegressor,Train,217,110.3519
C1,RandomForestRegressor,Train,392,258.758
C1,RandomForestRegressor,Train,544,2.5785
C1,RandomForestRegressor,Train,203,128.8589
C1,RandomForestRegressor,Train,305,199
C1,RandomForestRegressor,Train,664,8.0733
C1,RandomForestRegressor,Train,558,14.9253
C1,RandomForestRegressor,Train,113,1
C1,RandomForestRegressor,Train,188,10.8544
C1,RandomForestRegressor,Train,220,10.8544
C1,RandomForestRegressor,Train,80,64.4519
C1,RandomForestRegressor,Train,383,50.8758
C1,RandomForestRegressor,Train,41,187.5173
C1,RandomForestRegressor,Train,654,2.3164
C1,RandomForestRegressor,Train,548,3.3721
C1,RandomForestRegressor,Train,484,0.4688
C1,RandomForestRegressor,Train,17,182.9271
C1,RandomForestRegressor,Train,123,1.9281
C1,RandomForestRegressor,Train,132,10.8016
C1,RandomForestRegressor,Train,341,1.9465
C1,RandomForestRegressor,Train,511,1.0309
C1,RandomForestRegressor,Train,482,0.2813
C1,RandomForestRegressor,Train,48,107.2474
C1,RandomForestRegressor,Train,349,8.6133
C1,RandomForestRegressor,Train,494,0.1951
C1,RandomForestRegressor,Train,304,199
C1,RandomForestRegressor,Train,525,1.3279
C1,RandomForestRegressor,Train,308,175
C1,RandomForestRegressor,Train,4,100.6216
C1,RandomForestRegressor,Train,437,0.625
C1,RandomForestRegressor,Train,531,0.7582
C1,RandomForestRegressor,Train,165,2.4016
C1,RandomForestRegressor,Train,474,2.6613
C1,RandomForestRegressor,Train,409,0.9991
C1,RandomForestRegressor,Train,627,126.6968
C1,RandomForestRegressor,Train,567,110.5493
C1,RandomForestRegressor,Train,280,29.322
C1,RandomForestRegressor,Train,82,59.9138
C1,RandomForestRegressor,Train,605,11.3206
C1,RandomForestRegressor,Train,350,9.2547
C1,RandomForestRegressor,Train,470,1.9355
C1,RandomForestRegressor,Train,446,1.68
C1,RandomForestRegressor,Train,541,0.3471
C1,RandomForestRegressor,Train,96,18.5037
C1,RandomForestRegressor,Train,444,1.392
C1,RandomForestRegressor,Train,154,21.2041
C1,RandomForestRegressor,Train,582,194.643
C1,RandomForestRegressor,Train,140,5.2675
C1,RandomForestRegressor,Train,125,8.0539
C1,RandomForestRegressor,Train,60,32.1593
C1,RandomForestRegressor,Train,52,44.2483
C1,RandomForestRegressor,Train,560,18.6576
C1,RandomForestRegressor,Train,225,116.4338
C1,RandomForestRegressor,Train,287,15
C1,RandomForestRegressor,Train,403,239.2408
C1,RandomForestRegressor,Train,158,85.5833
C1,RandomForestRegressor,Train,389,58.658
C1,RandomForestRegressor,Train,250,35
C1,RandomForestRegressor,Train,361,7.7554
C1,RandomForestRegressor,Train,234,0
C1,RandomForestRegressor,Train,457,0.124
C1,RandomForestRegressor,Train,66,60.1467
C1,RandomForestRegressor,Train,523,1.2087
C1,RandomForestRegressor,Train,639,3.6199
C1,RandomForestRegressor,Train,390,239.6104
C1,RandomForestRegressor,Train,369,11.7391
C1,RandomForestRegressor,Train,360,9.5371
C1,RandomForestRegressor,Train,215,63.7857
C1,RandomForestRegressor,Train,98,11.6115
C1,RandomForestRegressor,Train,207,58.5204
C1,RandomForestRegressor,Train,464,0.6822
C1,RandomForestRegressor,Train,208,64.3514
C1,RandomForestRegressor,Train,538,0.0122
C1,RandomForestRegressor,Train,276,21.2415
C1,RandomForestRegressor,Train,264,28
C1,RandomForestRegressor,Train,214,31.2926
C1,RandomForestRegressor,Train,169,5.6234
C1,RandomForestRegressor,Train,668,11.9228
C1,RandomForestRegressor,Train,284,16.1
C1,RandomForestRegressor,Train,168,3.4065
C1,RandomForestRegressor,Train,293,249
C1,RandomForestRegressor,Train,448,2.4127
C1,RandomForestRegressor,Train,599,9.4379
C1,RandomForestRegressor,Train,232,0
C1,RandomForestRegressor,Train,559,18.6567
C1,RandomForestRegressor,Train,593,4.2261
C1,RandomForestRegressor,Train,373,153.8961
C1,RandomForestRegressor,Train,411,1.8375
C1,RandomForestRegressor,Train,667,11.2467
C1,RandomForestRegressor,Train,64,62.9539
C1,RandomForestRegressor,Train,126,8.924
C1,RandomForestRegressor,Train,170,6.1214
C1,RandomForestRegressor,Train,156,57.1515
C1,RandomForestRegressor,Train,32,130
C1,RandomForestRegressor,Train,554,23.5187
C1,RandomForestRegressor,Train,310,160
C1,RandomForestRegressor,Train,555,24.7525
C1,RandomForestRegressor,Train,566,97.2533
C1,RandomForestRegressor,Train,9,198.1857
C1,RandomForestRegressor,Train,648,11.7647
C1,RandomForestRegressor,Train,610,190.2757
C1,RandomForestRegressor,Train,139,4.6607
C1,RandomForestRegressor,Train,306,199
C1,RandomForestRegressor,Train,428,4.562
C1,RandomForestRegressor,Train,551,21.0396
C1,RandomForestRegressor,Train,53,66.997
C1,RandomForestRegressor,Train,393,231.8182
C1,RandomForestRegressor,Train,338,0.1872
C1,RandomForestRegressor,Train,595,4.6602
C1,RandomForestRegressor,Train,381,203.2466
C1,RandomForestRegressor,Train,607,188.4733
C1,RandomForestRegressor,Train,71,12
C1,RandomForestRegressor,Train,320,9.6
C1,RandomForestRegressor,Train,313,110
C1,RandomForestRegressor,Train,451,2.784
C1,RandomForestRegressor,Train,530,0.5275
C1,RandomForestRegressor,Train,162,1.7279
C1,RandomForestRegressor,Train,144,7.4757
C1,RandomForestRegressor,Train,65,64.5069
C1,RandomForestRegressor,Train,513,1.0911
C1,RandomForestRegressor,Train,590,3.9695
C1,RandomForestRegressor,Train,167,3.4122
C1,RandomForestRegressor,Train,153,8.2082
C1,RandomForestRegressor,Train,67,58.7044
C1,RandomForestRegressor,Train,10,189.6709
C1,RandomForestRegressor,Train,576,194.3514
C1,RandomForestRegressor,Train,422,2.4793
C1,RandomForestRegressor,Train,309,170
C1,RandomForestRegressor,Train,348,8.0216
C1,RandomForestRegressor,Train,563,19.9014
C1,RandomForestRegressor,Train,653,178.2805
C1,RandomForestRegressor,Train,585,204.3982
C1,RandomForestRegressor,Train,471,2.3226
C1,RandomForestRegressor,Train,180,52.7921
C1,RandomForestRegressor,Train,611,190.3014
C1,RandomForestRegressor,Train,103,15.0427
C1,RandomForestRegressor,Train,472,2.5161
C1,RandomForestRegressor,Train,467,0.4355
C1,RandomForestRegressor,Train,54,69.8308
C1,RandomForestRegressor,Train,506,0.4892
C1,RandomForestRegressor,Train,175,9.6674
C1,RandomForestRegressor,Train,469,1.6452
C1,RandomForestRegressor,Train,594,4.5061
C1,RandomForestRegressor,Train,606,182.4439
C1,RandomForestRegressor,Train,136,2.4124
C1,RandomForestRegressor,Train,500,0.8782
C1,RandomForestRegressor,Train,528,-0.0329
C1,RandomForestRegressor,Train,356,10.9285
C1,RandomForestRegressor,Train,101,8.3687
C1,RandomForestRegressor,Train,176,3.9349
C1,RandomForestRegressor,Train,407,0.1875
C1,RandomForestRegressor,Train,508,0.7214
C1,RandomForestRegressor,Train,277,25.3552
C1,RandomForestRegressor,Train,439,0.8125
C1,RandomForestRegressor,Train,316,9.8
C1,RandomForestRegressor,Train,486,0.5937
C1,RandomForestRegressor,Train,110,10
C1,RandomForestRegressor,Train,44,55.2411
C1,RandomForestRegressor,Train,452,2.832
C1,RandomForestRegressor,Train,241,18
C1,RandomForestRegressor,Train,195,98.0734
C1,RandomForestRegressor,Train,182,40.2656
C1,RandomForestRegressor,Train,351,9.76
C1,RandomForestRegressor,Train,385,266.4502
C1,RandomForestRegressor,Train,296,210
C1,RandomForestRegressor,Train,478,0.0625
C1,RandomForestRegressor,Train,399,206.4592
C1,RandomForestRegressor,Train,155,42.7149
C1,RandomForestRegressor,Train,299,160
C1,RandomForestRegressor,Train,56,71.4614
C1,RandomForestRegressor,Train,11,55.825
C1,RandomForestRegressor,Train,178,32.7076
C1,RandomForestRegressor,Train,603,10.7927
C1,RandomForestRegressor,Train,663,3.9662
C1,RandomForestRegressor,Train,5,178.1616
C1,RandomForestRegressor,Train,263,36
C1,RandomForestRegressor,Train,300,115
C1,RandomForestRegressor,Train,669,4.6774
C1,RandomForestRegressor,Train,315,0
C1,RandomForestRegressor,Train,518,0.541
C1,RandomForestRegressor,Train,216,75.6454
C1,RandomForestRegressor,Train,22,169.1834
C1,RandomForestRegressor,Train,397,178.0901
C1,RandomForestRegressor,Train,609,190.1513
C1,RandomForestRegressor,Train,121,14.8143
C1,RandomForestRegressor,Train,628,128.5068
C1,RandomForestRegressor,Train,177,15.8993
C1,RandomForestRegressor,Train,61,45.1337
C1,RandomForestRegressor,Train,501,0.8787
C1,RandomForestRegressor,Train,243,17
C1,RandomForestRegressor,Train,260,55
C1,RandomForestRegressor,Train,504,0.3351
C1,RandomForestRegressor,Train,649,145.2489
C1,RandomForestRegressor,Train,127,9.7231
C1,RandomForestRegressor,Train,510,0.9325
C1,RandomForestRegressor,Train,69,90
C1,RandomForestRegressor,Train,303,200
C1,RandomForestRegressor,Train,285,16.1
C1,RandomForestRegressor,Train,194,88.3651
C1,RandomForestRegressor,Train,415,2.6875
C1,RandomForestRegressor,Train,253,26
C1,RandomForestRegressor,Train,507,0.6363
C1,RandomForestRegressor,Train,197,16.661
C1,RandomForestRegressor,Train,84,12.411
C1,RandomForestRegressor,Train,495,0.439
C1,RandomForestRegressor,Train,540,0.2479
C1,RandomForestRegressor,Train,337,0.1123
C1,RandomForestRegressor,Train,406,0.0568
C1,RandomForestRegressor,Train,161,95.3006
C1,RandomForestRegressor,Train,6,196.9007
C1,RandomForestRegressor,Train,624,113.5747
C1,RandomForestRegressor,Train,382,176.4069
C1,RandomForestRegressor,Train,569,117.0022
C1,RandomForestRegressor,Train,172,8.9135
C1,RandomForestRegressor,Train,660,19.09
C1,RandomForestRegressor,Train,666,11.2
C1,RandomForestRegressor,Train,488,0.6875
C1,RandomForestRegressor,Train,191,50.0692
C1,RandomForestRegressor,Train,379,256.0606
C1,RandomForestRegressor,Train,545,2.9256
C1,RandomForestRegressor,Train,218,140.1645
C1,RandomForestRegressor,Train,416,2.75
C1,RandomForestRegressor,Train,288,14.5
C1,RandomForestRegressor,Train,187,67.1065
C1,RandomForestRegressor,Train,163,2.005
C1,RandomForestRegressor,Train,543,2.033
C1,RandomForestRegressor,Train,124,4.7621
C1,RandomForestRegressor,Train,463,0.6518
C1,RandomForestRegressor,Train,157,70.5282
C1,RandomForestRegressor,Train,236,0
C1,RandomForestRegressor,Train,129,11.7748
