data,algorithm,split,source_row,y_true
feature selected,PyTorch_TabularMLP,Train,424,4.0661
feature selected,PyTorch_TabularMLP,Train,146,7.4684
feature selected,PyTorch_TabularMLP,Train,93,15.107
feature selected,PyTorch_TabularMLP,Train,323,9.5
feature selected,PyTorch_TabularMLP,Train,539,0.0157
feature selected,PyTorch_TabularMLP,Train,99,10.9416
feature selected,PyTorch_TabularMLP,Train,92,5.6837
feature selected,PyTorch_TabularMLP,Train,28,192.4421
feature selected,PyTorch_TabularMLP,Train,258,62
feature selected,PyTorch_TabularMLP,Train,632,190.4977
feature selected,PyTorch_TabularMLP,Train,366,11.7391
feature selected,PyTorch_TabularMLP,Train,150,7.8279
feature selected,PyTorch_TabularMLP,Train,572,121.0705
feature selected,PyTorch_TabularMLP,Train,638,208.5973
feature selected,PyTorch_TabularMLP,Train,421,1.8843
feature selected,PyTorch_TabularMLP,Train,27,188.2349
feature selected,PyTorch_TabularMLP,Train,50,99.7175
feature selected,PyTorch_TabularMLP,Train,286,16
feature selected,PyTorch_TabularMLP,Train,213,16.661
feature selected,PyTorch_TabularMLP,Train,445,1.4355
feature selected,PyTorch_TabularMLP,Train,252,31
feature selected,PyTorch_TabularMLP,Train,85,7.7779
feature selected,PyTorch_TabularMLP,Train,461,0.5271
feature selected,PyTorch_TabularMLP,Train,455,0.0117
feature selected,PyTorch_TabularMLP,Train,375,137.4459
feature selected,PyTorch_TabularMLP,Train,210,132.1477
feature selected,PyTorch_TabularMLP,Train,290,11.9
feature selected,PyTorch_TabularMLP,Train,15,186.1441
feature selected,PyTorch_TabularMLP,Train,535,1.1538
feature selected,PyTorch_TabularMLP,Train,596,4.6697
feature selected,PyTorch_TabularMLP,Train,514,0.0991
feature selected,PyTorch_TabularMLP,Train,651,168.7782
feature selected,PyTorch_TabularMLP,Train,62,67.104
feature selected,PyTorch_TabularMLP,Train,58,70.945
feature selected,PyTorch_TabularMLP,Train,78,62.2973
feature selected,PyTorch_TabularMLP,Train,274,16.7407
feature selected,PyTorch_TabularMLP,Train,418,0.0232
feature selected,PyTorch_TabularMLP,Train,522,1.1411
feature selected,PyTorch_TabularMLP,Train,516,0.3443
feature selected,PyTorch_TabularMLP,Train,633,193.6651
feature selected,PyTorch_TabularMLP,Train,656,9.8231
feature selected,PyTorch_TabularMLP,Train,431,0.1437
feature selected,PyTorch_TabularMLP,Train,51,36.1086
feature selected,PyTorch_TabularMLP,Train,497,0.7317
feature selected,PyTorch_TabularMLP,Train,425,4.3637
feature selected,PyTorch_TabularMLP,Train,331,8.9
feature selected,PyTorch_TabularMLP,Train,413,2.5006
feature selected,PyTorch_TabularMLP,Train,109,15
feature selected,PyTorch_TabularMLP,Train,42,187.2488
feature selected,PyTorch_TabularMLP,Train,75,54.9536
feature selected,PyTorch_TabularMLP,Train,432,0.1875
feature selected,PyTorch_TabularMLP,Train,626,123.9819
feature selected,PyTorch_TabularMLP,Train,480,0.1562
feature selected,PyTorch_TabularMLP,Train,222,31.2926
feature selected,PyTorch_TabularMLP,Train,442,0.0274
feature selected,PyTorch_TabularMLP,Train,460,0.4651
feature selected,PyTorch_TabularMLP,Train,21,106.0925
feature selected,PyTorch_TabularMLP,Train,55,75.5317
feature selected,PyTorch_TabularMLP,Train,291,250
feature selected,PyTorch_TabularMLP,Train,217,110.3519
feature selected,PyTorch_TabularMLP,Train,392,258.758
feature selected,PyTorch_TabularMLP,Train,544,2.5785
feature selected,PyTorch_TabularMLP,Train,203,128.8589
feature selected,PyTorch_TabularMLP,Train,305,199
feature selected,PyTorch_TabularMLP,Train,664,8.0733
feature selected,PyTorch_TabularMLP,Train,558,14.9253
feature selected,PyTorch_TabularMLP,Train,113,1
feature selected,PyTorch_TabularMLP,Train,188,10.8544
feature selected,PyTorch_TabularMLP,Train,220,10.8544
feature selected,PyTorch_TabularMLP,Train,80,64.4519
feature selected,PyTorch_TabularMLP,Train,383,50.8758
feature selected,PyTorch_TabularMLP,Train,41,187.5173
feature selected,PyTorch_TabularMLP,Train,654,2.3164
feature selected,PyTorch_TabularMLP,Train,548,3.3721
feature selected,PyTorch_TabularMLP,Train,484,0.4688
feature selected,PyTorch_TabularMLP,Train,17,182.9271
feature selected,PyTorch_TabularMLP,Train,123,1.9281
feature selected,PyTorch_TabularMLP,Train,132,10.8016
feature selected,PyTorch_TabularMLP,Train,341,1.9465
feature selected,PyTorch_TabularMLP,Train,511,1.0309
feature selected,PyTorch_TabularMLP,Train,482,0.2813
feature selected,PyTorch_TabularMLP,Train,48,107.2474
feature selected,PyTorch_TabularMLP,Train,349,8.6133
feature selected,PyTorch_TabularMLP,Train,494,0.1951
feature selected,PyTorch_TabularMLP,Train,304,199
feature selected,PyTorch_TabularMLP,Train,525,1.3279
feature selected,PyTorch_TabularMLP,Train,308,175
feature selected,PyTorch_TabularMLP,Train,4,100.6216
feature selected,PyTorch_TabularMLP,Train,437,0.625
feature selected,PyTorch_TabularMLP,Train,531,0.7582
feature selected,PyTorch_TabularMLP,Train,165,2.4016
feature selected,PyTorch_TabularMLP,Train,474,2.6613
feature selected,PyTorch_TabularMLP,Train,409,0.9991
feature selected,PyTorch_TabularMLP,Train,627,126.6968
feature selected,PyTorch_TabularMLP,Train,567,110.5493
feature selected,PyTorch_TabularMLP,Train,280,29.322
feature selected,PyTorch_TabularMLP,Train,82,59.9138
feature selected,PyTorch_TabularMLP,Train,605,11.3206
feature selected,PyTorch_TabularMLP,Train,350,9.2547
feature selected,PyTorch_TabularMLP,Train,470,1.9355
feature selected,PyTorch_TabularMLP,Train,446,1.68
feature selected,PyTorch_TabularMLP,Train,541,0.3471
feature selected,PyTorch_TabularMLP,Train,96,18.5037
feature selected,PyTorch_TabularMLP,Train,444,1.392
feature selected,PyTorch_TabularMLP,Train,154,21.2041
feature selected,PyTorch_TabularMLP,Train,582,194.643
feature selected,PyTorch_TabularMLP,Train,140,5.2675
feature selected,PyTorch_TabularMLP,Train,125,8.0539
feature selected,PyTorch_TabularMLP,Train,60,32.1593
feature selected,PyTorch_TabularMLP,Train,52,44.2483
feature selected,PyTorch_TabularMLP,Train,560,18.6576
feature selected,PyTorch_TabularMLP,Train,225,116.4338
feature selected,PyTorch_TabularMLP,Train,287,15
feature selected,PyTorch_TabularMLP,Train,403,239.2408
feature selected,PyTorch_TabularMLP,Train,158,85.5833
feature selected,PyTorch_TabularMLP,Train,389,58.658
feature selected,PyTorch_TabularMLP,Train,250,35
feature selected,PyTorch_TabularMLP,Train,361,7.7554
feature selected,PyTorch_TabularMLP,Train,234,0
