,Heating rate (℃/min),Pyrolysis temperature (℃),Pyrolysis time（h）,C (%),H (%),O (%),N (%),Specific surface area (m2/g）,Pore volume (cm3/g）,Average pore size (nm),pH,Adsorption time (h),Adsorbent dosage (g/l),Adsorption temperature (℃),Initial concentration (mg/l),Adsorption capacity (mg/g)
Heating rate (℃/min),1,-0.005714696,0.28263236231932515,0.243008688,0.21463569013133882,-0.3110843,0.7641496140972587,0.21234595035498796,0.066166572,-0.527875473,0.18285406811613078,-0.319606434,0.057088645,-0.180647436,-0.021495119,0.1419834710692014
Pyrolysis temperature (℃),-0.005714696,1,-0.553892716,-0.287378988,-0.488653313,-0.094853263,0.053596019,0.49121023363494887,0.4617309705102708,0.3625390150641445,-0.242284192,-0.010321651,0.13830000564711747,0.06303793,0.1966272719071036,0.38664680787160355
Pyrolysis time（h）,0.28263236231932515,-0.553892716,1,0.5984459225198795,0.5179983842364497,-0.217932819,-0.088548052,-0.307052229,-0.205613819,-0.539753796,0.30115684913049157,-0.247281459,-0.16569147,-0.287767274,-0.421726371,-0.336760041
C (%),0.243008688,-0.287378988,0.5984459225198795,1,0.557396433,-0.0135832,0.17981077902350162,0.24328055746870975,0.23287839845811648,-0.530303103,0.16973625504983791,-0.238953019,-0.489852382,-0.485064686,-0.350405141,0.006014265
H (%),0.21463569013133882,-0.488653313,0.5179983842364497,0.557396433,1,0.22032300087972737,-0.00918438,-0.167309311,-0.22676677,-0.476911567,0.10057684371917641,-0.289983704,-0.122446014,-0.225357794,-0.310085972,-0.227761984
O (%),-0.3110843,-0.094853263,-0.217932819,-0.0135832,0.22032300087972737,1,-0.18524562,-0.100865883,-0.002029609,0.33796505356430684,-0.22031276,0.11781626841142655,-0.256850508,-0.007330659,-0.039906262,0.098288772
N (%),0.7641496140972587,0.053596019,-0.088548052,0.17981077902350162,-0.00918438,-0.18524562,1,0.38141725,0.2828835496906016,-0.202450178,0.07273211,-0.040463505,0.016970971586896547,-0.211303715,0.20609214,0.321124004
Specific surface area (m2/g）,0.21234595035498796,0.49121023363494887,-0.307052229,0.24328055746870975,-0.167309311,-0.100865883,0.38141725,1,0.8715926299337713,0.1031985203618159,-0.184072046,0.018321701,-0.270437581,-0.210484906,0.2163204019989151,0.7316484408669037
Pore volume (cm3/g）,0.066166572,0.4617309705102708,-0.205613819,0.23287839845811648,-0.22676677,-0.002029609,0.2828835496906016,0.8715926299337713,1,0.3260664459590453,-0.152827664,0.063643189,-0.258683609,-0.321277908,0.069703347,0.6065848972159215
Average pore size (nm),-0.527875473,0.3625390150641445,-0.539753796,-0.530303103,-0.476911567,0.33796505356430684,-0.202450178,0.1031985203618159,0.3260664459590453,1,-0.307025637,0.22904913791238252,0.1305207186368275,0.11990450268819998,0.1577656953645748,0.13505929138442568
pH,0.18285406811613078,-0.242284192,0.30115684913049157,0.16973625504983791,0.10057684371917641,-0.22031276,0.07273211,-0.184072046,-0.152827664,-0.307025637,1,-0.000543314,0.027939635,-0.097064593,-0.205555196,-0.330171844
Adsorption time (h),-0.319606434,-0.010321651,-0.247281459,-0.238953019,-0.289983704,0.11781626841142655,-0.040463505,0.018321701,0.063643189,0.22904913791238252,-0.000543314,1,-0.066724789,0.21890439367704725,0.3353412689457931,0.15841748485994267
Adsorbent dosage (g/l),0.057088645,0.13830000564711747,-0.16569147,-0.489852382,-0.122446014,-0.256850508,0.016970971586896547,-0.270437581,-0.258683609,0.1305207186368275,0.027939635,-0.066724789,1,0.2034872538421009,-0.028662991,-0.211263945
Adsorption temperature (℃),-0.180647436,0.06303793,-0.287767274,-0.485064686,-0.225357794,-0.007330659,-0.211303715,-0.210484906,-0.321277908,0.11990450268819998,-0.097064593,0.21890439367704725,0.2034872538421009,1,0.31420782325433105,-0.046944103
Initial concentration (mg/l),-0.021495119,0.1966272719071036,-0.421726371,-0.350405141,-0.310085972,-0.039906262,0.20609214,0.2163204019989151,0.069703347,0.1577656953645748,-0.205555196,0.3353412689457931,-0.028662991,0.31420782325433105,1,0.42301284830240615
Adsorption capacity (mg/g),0.1419834710692014,0.38664680787160355,-0.336760041,0.006014265,-0.227761984,0.098288772,0.321124004,0.7316484408669037,0.6065848972159215,0.13505929138442568,-0.330171844,0.15841748485994267,-0.211263945,-0.046944103,0.42301284830240615,1
